stateβ β!β"β#β$β%β&β'β(β)β*β+β,β-β.β/β0β1β2β3β4β5β6β7β8β9β:β;β<β=β>β?β@βAβBβCβDβEβFβGβHβIβJβKβLβMβNβOβPβQβRβSβTβUβVβWβXβYβZβ[β\β]β^β_β`βaβbβcβdβeβfβgβhβiβjβkβlβmβnβoβpβqβrβsβtβuβvβwβxβyβzβ{β|β}β~β¢β£β§β¨βªβ¬β°β²β³β´β¹βºβÁβÂβÃβÉβÊβÍβÓβÔβÕβÚβÜβáβâβãβçβéβêβíβóβôβõβúβüβŋβτβ⁰β⁴β⁵β⁶β⁷β⁸β⁹β
δ<>δ 10β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ<=δ 11β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ>=δ 12β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ<<δ 13β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ>>δ 14β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ+=δ 15β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ-=δ 16β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ*=δ 17β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ/=δ 18β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ//=δ 19β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ%=δ 20β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ^=δ 21β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δespacoδ 22β22β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β22β158β158β158β158β158β158β158β
δ\nδ 23β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δcomentarioδ 24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β24β158β24β24β24β24β24β24β24β24β
δidentificadorδ 25β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β25β25β25β25β25β25β25β25β25β25β158β158β158β158β158β158β158β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β158β158β158β158β25β158β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β158β158β158β158β158β158β158β158β158β
26β26β26β26β26β26β26β26β27β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β28β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β158β26β26β26β26β26β26β26β26β
δstringδ 27β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
28β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β26β158β26β26β26β26β26β26β26β26β
29β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β30β30β30β30β30β30β30β30β30β30β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δnumero_realδ 30β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β30β30β30β30β30β30β30β30β30β30β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ%δ 31β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β20β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ*δ 32β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β17β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ+δ 33β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β15β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ-δ 34β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β16β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ/δ 35β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β57β158β158β158β158β158β158β158β158β158β158β158β158β158β18β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δnumeroδ 36β158β158β158β158β158β158β158β158β158β158β158β158β158β158β30β158β36β36β36β36β36β36β36β36β36β36β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
